First Name,Last Name,Date of Birth,Email Address,Mobile Number,Annual Income,Total Spendings,Visit Frequency,Churn
Avery,Chang,19-06-1986,averychang@gmail.com,9876543210,15000,190,6,FALSE
Braeden,Bates,03-09-1988,braedenbates@yahoo.com,7896541230,15000,260,2,TRUE
Cora,Mcfarland,10-12-1985,coramcfarland@hotmail.com,8765432190,16000,240,3,FALSE
Daxton,Brewer,22-05-1987,daxtonbrewer@gmail.com,9123456780,16000,340,1,TRUE
Elaine,Hale,01-02-1985,elainehale@yahoo.com,7654321098,17000,360,2,FALSE
Felix,Potter,20-08-1990,felixpotter@hotmail.com,6598741230,17000,180,2,FALSE
Greta,Good,05-04-1991,gretagood@gmail.com,8965412307,18000,330,1,TRUE
Holden,Pennington,28-01-1989,holdenpennington@yahoo.com,8901234567,18000,320,2,FALSE
Isaiah,Booth,12-11-1984,isaiahbooth@hotmail.com,7890123456,19000,110,5,FALSE
Jemma,Reynolds,09-10-1987,jemmareynolds@gmail.com,9870123456,19000,290,4,FALSE
Khalil,Fuentes,21-06-1983,khalilfuentes@yahoo.com,8654123078,14958,130,7,TRUE
Lila,Bell,06-01-1988,lilabell@gmail.com,8965412309,16027,270,4,TRUE
Maeve,Gardner,17-03-1985,maevegardner@hotmail.com,7123456780,17594,210,2,FALSE
Nia,Ross,18-09-1989,niaross@yahoo.com,8965412370,20612,170,6,TRUE
Oscar,Rivera,25-12-1987,oscarrivera@gmail.com,7654123087,12557,310,8,FALSE
Phoebe,Delacruz,14-02-1984,phoebedelacruz@yahoo.com,8765412309,15324,330,3,TRUE
Quinn,Stephens,07-07-1992,quinnstephens@hotmail.com,9870123456,23346,300,9,FALSE
Raven,Cherry,09-04-1989,ravencherry@gmail.com,7896541230,22656,160,1,TRUE
Seth,Archer,06-08-1983,setharcher@yahoo.com,9865412370,18498,160,5,FALSE
Talia,Carr,15-11-1987,taliacarr@hotmail.com,8765412093,13627,260,3,FALSE
Uriah,Peters,16-09-1985,urlishpaad@gmail.com,7890123456,19992,160,4,TRUE
Liam,Smith,10-06-1995,liam.smith@gmail.com,8765412309,13587,280,9,TRUE
Olivia,Johnson,12-08-1998,olivia.johnson@gmail.com,9123456780,16783,150,8,TRUE
Noah,Brown,20-02-1994,noah.brown@gmail.com,7865412309,14098,190,7,TRUE
Emma,Davis,05-05-1999,emma.davis@gmail.com,9876543210,20623,300,6,FALSE
Oliver,Garcia,25-12-1996,oliver.garcia@gmail.com,8965412370,11896,340,1,FALSE
Ava,Martinez,01-11-1993,ava.martinez@gmail.com,7865412390,15317,120,5,TRUE
Elijah,Jackson,02-04-1997,elijah.jackson@gmail.com,9123456780,23125,340,2,TRUE
